date,address,active_apartments
2023-08-07,ГП-4,22
2023-08-07,ГП-5,301
2023-08-07,ГП-6,20
2023-08-07,ГП-7,281
2023-08-08,ГП-3,4
2023-08-08,ГП-4,22
2023-08-08,ГП-5,301
2023-08-08,ГП-6,20
2023-08-08,ГП-7,279
2023-08-09,ГП-3,4
2023-08-09,ГП-4,22
2023-08-09,ГП-5,301
2023-08-09,ГП-6,20
2023-08-09,ГП-7,276
2023-08-10,ГП-3,4
2023-08-10,ГП-4,22
2023-08-10,ГП-5,301
2023-08-10,ГП-6,20
2023-08-10,ГП-7,276
2023-08-11,ГП-3,4
2023-08-11,ГП-4,21
2023-08-11,ГП-5,301
2023-08-11,ГП-6,20
2023-08-11,ГП-7,275
2023-08-12,ГП-3,4
2023-08-12,ГП-4,20
2023-08-12,ГП-5,301
2023-08-12,ГП-6,20
2023-08-12,ГП-7,275
2023-08-13,ГП-3,4
2023-08-13,ГП-4,20
2023-08-13,ГП-5,301
2023-08-13,ГП-6,20
2023-08-13,ГП-7,275
2023-08-14,ГП-3,4
2023-08-14,ГП-4,20
2023-08-14,ГП-5,301
2023-08-14,ГП-6,20
2023-08-14,ГП-7,275
2023-08-15,ГП-3,3
2023-08-15,ГП-4,20
2023-08-15,ГП-5,301
2023-08-15,ГП-6,20
2023-08-15,ГП-7,273
2023-08-16,ГП-3,3
2023-08-16,ГП-4,19
2023-08-16,ГП-5,301
2023-08-16,ГП-6,20
2023-08-16,ГП-7,271
2023-08-17,ГП-3,0
2023-08-17,ГП-4,19
2023-08-17,ГП-5,301
2023-08-17,ГП-6,20
2023-08-17,ГП-7,262
2023-08-18,ГП-3,0
2023-08-18,ГП-4,18
2023-08-18,ГП-5,301
2023-08-18,ГП-6,20
2023-08-18,ГП-7,262
2023-08-19,ГП-3,0
2023-08-19,ГП-4,17
2023-08-19,ГП-5,301
2023-08-19,ГП-6,20
2023-08-19,ГП-7,262
2023-08-20,ГП-3,0
2023-08-20,ГП-4,17
2023-08-20,ГП-5,301
2023-08-20,ГП-6,20
2023-08-20,ГП-7,262
2023-08-21,ГП-3,0
2023-08-21,ГП-4,17
2023-08-21,ГП-5,301
2023-08-21,ГП-6,20
2023-08-21,ГП-7,262
2023-08-22,ГП-3,0
2023-08-22,ГП-4,16
2023-08-22,ГП-5,301
2023-08-22,ГП-6,20
2023-08-22,ГП-7,262
2023-08-23,ГП-3,0
2023-08-23,ГП-4,16
2023-08-23,ГП-5,301
2023-08-23,ГП-6,20
2023-08-23,ГП-7,254
2023-08-24,ГП-3,0
2023-08-24,ГП-4,15
2023-08-24,ГП-5,301
2023-08-24,ГП-6,20
2023-08-24,ГП-7,254
2023-08-25,ГП-3,0
2023-08-25,ГП-4,15
2023-08-25,ГП-5,301
2023-08-25,ГП-6,20
2023-08-25,ГП-7,254
2023-08-26,ГП-3,0
2023-08-26,ГП-4,15
2023-08-26,ГП-5,301
2023-08-26,ГП-6,20
2023-08-26,ГП-7,249
2023-08-27,ГП-3,0
2023-08-27,ГП-4,15
2023-08-27,ГП-5,301
2023-08-27,ГП-6,20
2023-08-27,ГП-7,249
2023-08-28,ГП-3,0
2023-08-28,ГП-4,15
2023-08-28,ГП-5,301
2023-08-28,ГП-6,20
2023-08-28,ГП-7,249
2023-08-29,ГП-3,0
2023-08-29,ГП-4,15
2023-08-29,ГП-5,301
2023-08-29,ГП-6,20
2023-08-29,ГП-7,234
2023-08-30,ГП-3,0
2023-08-30,ГП-4,14
2023-08-30,ГП-5,280
2023-08-30,ГП-6,20
2023-08-30,ГП-7,230
2023-08-31,ГП-3,0
2023-08-31,ГП-4,14
2023-08-31,ГП-5,278
2023-08-31,ГП-6,20
2023-08-31,ГП-7,230
2023-09-01,ГП-3,0
2023-09-01,ГП-4,14
2023-09-01,ГП-5,277
2023-09-01,ГП-6,20
2023-09-01,ГП-7,228
2023-09-02,ГП-3,0
2023-09-02,ГП-4,13
2023-09-02,ГП-5,277
2023-09-02,ГП-6,20
2023-09-02,ГП-7,215
2023-09-03,ГП-3,0
2023-09-03,ГП-4,13
2023-09-03,ГП-5,277
2023-09-03,ГП-6,20
2023-09-03,ГП-7,214
2023-09-04,ГП-3,0
2023-09-04,ГП-4,13
2023-09-04,ГП-5,277
2023-09-04,ГП-6,20
2023-09-04,ГП-7,214
2023-09-05,ГП-3,0
2023-09-05,ГП-4,13
2023-09-05,ГП-5,277
2023-09-05,ГП-6,20
2023-09-05,ГП-7,214
2023-09-06,ГП-3,0
2023-09-06,ГП-4,13
2023-09-06,ГП-5,277
2023-09-06,ГП-6,20
2023-09-06,ГП-7,214
2023-09-07,ГП-3,0
2023-09-07,ГП-4,13
2023-09-07,ГП-5,277
2023-09-07,ГП-6,20
2023-09-07,ГП-7,206
2023-09-08,ГП-3,0
2023-09-08,ГП-4,13
2023-09-08,ГП-5,277
2023-09-08,ГП-6,20
2023-09-08,ГП-7,201
2023-09-09,ГП-3,0
2023-09-09,ГП-4,13
2023-09-09,ГП-5,276
2023-09-09,ГП-6,20
2023-09-09,ГП-7,201
2023-09-10,ГП-3,0
2023-09-10,ГП-4,13
2023-09-10,ГП-5,276
2023-09-10,ГП-6,20
2023-09-10,ГП-7,201
2023-09-11,ГП-3,0
2023-09-11,ГП-4,13
2023-09-11,ГП-5,276
2023-09-11,ГП-6,20
2023-09-11,ГП-7,201
2023-09-12,ГП-3,0
2023-09-12,ГП-4,13
2023-09-12,ГП-5,274
2023-09-12,ГП-6,20
2023-09-12,ГП-7,198
2023-09-13,ГП-3,0
2023-09-13,ГП-4,13
2023-09-13,ГП-5,274
2023-09-13,ГП-6,20
2023-09-13,ГП-7,196
2023-09-14,ГП-3,0
2023-09-14,ГП-4,13
2023-09-14,ГП-5,274
2023-09-14,ГП-6,20
2023-09-14,ГП-7,196
2023-09-15,ГП-3,0
2023-09-15,ГП-4,13
2023-09-15,ГП-5,273
2023-09-15,ГП-6,20
2023-09-15,ГП-7,195
2023-09-16,ГП-3,0
2023-09-16,ГП-4,13
2023-09-16,ГП-5,273
2023-09-16,ГП-6,20
2023-09-16,ГП-7,190
2023-09-17,ГП-3,0
2023-09-17,ГП-4,13
2023-09-17,ГП-5,273
2023-09-17,ГП-6,20
2023-09-17,ГП-7,190
2023-09-18,ГП-3,0
2023-09-18,ГП-4,13
2023-09-18,ГП-5,273
2023-09-18,ГП-6,20
2023-09-18,ГП-7,190
2023-09-19,ГП-3,0
2023-09-19,ГП-4,12
2023-09-19,ГП-5,271
2023-09-19,ГП-6,20
2023-09-19,ГП-7,190
2023-09-20,ГП-3,0
2023-09-20,ГП-4,12
2023-09-20,ГП-5,271
2023-09-20,ГП-6,20
2023-09-20,ГП-7,190
2023-09-21,ГП-3,0
2023-09-21,ГП-4,12
2023-09-21,ГП-5,271
2023-09-21,ГП-6,20
2023-09-21,ГП-7,190
2023-09-22,ГП-3,0
2023-09-22,ГП-4,11
2023-09-22,ГП-5,270
2023-09-22,ГП-6,20
2023-09-22,ГП-7,189
2023-09-23,ГП-3,0
2023-09-23,ГП-4,10
2023-09-23,ГП-5,270
2023-09-23,ГП-6,20
2023-09-23,ГП-7,186
2023-09-24,ГП-3,0
2023-09-24,ГП-4,10
2023-09-24,ГП-5,270
2023-09-24,ГП-6,20
2023-09-24,ГП-7,186
2023-09-25,ГП-3,0
2023-09-25,ГП-4,10
2023-09-25,ГП-5,270
2023-09-25,ГП-6,20
2023-09-25,ГП-7,186
2023-09-26,ГП-3,0
2023-09-26,ГП-4,10
2023-09-26,ГП-5,269
2023-09-26,ГП-6,20
2023-09-26,ГП-7,184
2023-09-27,ГП-3,0
2023-09-27,ГП-4,10
